Event, ele_E, ele_Px, ele_Py, ele_Pz,  pos_E, pos_Px, pos_Py, pos_Pz
2554, 198522, -24027.6, 34775.7, 193970, 270660, 29302.7, -37832.3, 266396
2555, 57793.2, 41951.7, -1900.78, -39705.1, 35442.5, -34295.9, 6307.15, 6338.99
2556, 108009, -27553.6, 14107.4, 103479, 231984, 47897.6, -53367, 220622
2557, 161423, 6448.81, -42262.4, 155659, 111820, -23499.2, 35229.7, 103491
2558, 50515.5, 2157.68, -46523.6, 19563, 50461.7, 755.818, 44510.5, 23762
2559, 83587.8, -3237.94, 27532.6, 78856.8, 29076.8, 3504.97, -27247.9, -9524.98
2560, 47113.4, -44294.5, -16040.5, -615.116, 44756.2, 38976, 21919.5, -1876.2
2561, 58617.8, -51516.9, -6982.98, -27079.3, 40767.1, 32892.1, 23868.4, -3219.55
2562, 70356.6, 51777.5, 25793.5, -40048, 44656.5, -38372.3, 1240.95, -22808.7
2563, 132446, 34493, -4310.1, -127803, 56203.5, -30236.9, 31397, -35479.5
2564, 48510.9, 11475.5, -47132.9, -320.207, 130801, -92647.6, -66589.2, 63963.1
2565, 30929.3, -12541.6, -28222.8, -1675.4, 104014, 26319.2, 29644.7, -96163.9
2566, 58342.5, 32960.2, -25881.4, 40591, 78455.1, -36863.3, 27027.8, 63763.6
2567, 204516, -28801, 67190.2, -191005, 46018.9, 8839.31, -26582, -36510.3
2568, 158498, -38873.2, 21393.3, -152160, 247495, 36923.5, -21073.9, -243816
2569, 105190, -48639, -26183.5, 89519.1, 108650, 33572.9, 19119.5, 101549
2570, 37253.9, -4252.82, -30473.8, 21002.8, 63786.1, -32488.4, 13080.3, -53311.2
2571, 88765.2, 14186.6, -44757.2, 75331.2, 103638, -3162.39, 42336, 94543.4
2572, 73150.6, -37712.3, -12163.7, 61488.5, 201141, 18327.6, 42134.9, 195822
2573, 51883.7, 23980.1, 21744.5, 40546.9, 225037, -32122.9, -25043.9, 221320
2574, 39921.6, -5108.18, -37711.4, -12061.9, 104433, -1196.67, 29447.1, -100189
2575, 37783, -36035.1, 11111.4, 2358.45, 114951, -201.228, 38157.2, -108433
2576, 36725.2, 14201.4, 33866.3, -365.343, 45789.4, -9379.62, -38431.1, 23059.5
2577, 53213.2, 24701, -20598, 42393.8, 123576, -25596.8, 25500.2, 118176
2578, 74589.6, -47055.6, 4918.79, -57664.4, 127626, 41369.8, -4161.17, -120663
2579, 75062.9, 25881.1, -41731, 56772.6, 39118.5, -29778.3, 25007.5, 4259.1
2580, 116652, -40760.9, 2837.45, -109262, 72644.8, 42402.2, 2655.29, -58926
2581, 57421.6, 56525.7, 9394.98, -3717.45, 85941.4, 29032.7, -54596.4, 59684.6
2582, 91248.7, 20959.5, -28246.9, 84197, 41297, -31800.4, 23626.4, 11660.7
